1,Bulbasaur,45,49,49,65,65,45,3,0,31
2,Ivysaur,60,62,63,80,80,60,3,0,31
3,Venusaur,80,82,83,100,100,80,3,0,31
4,Charmander,39,52,43,60,50,65,3,0,31
5,Charmeleon,58,64,58,80,65,80,3,0,31
6,Charizard,78,84,78,109,85,100,3,0,31
7,Squirtle,44,48,65,50,64,43,3,0,31
8,Wartortle,59,63,80,65,60,58,3,0,31
9,Blastoise,79,83,100,85,105,78,3,0,31
10,Caterpie,45,30,35,20,20,45,0,0,127
11,Metapod,50,20,55,25,25,30,0,0,127
12,Butterfree,60,45,50,80,80,70,0,0,127
13,Weedle,40,35,30,20,20,50,0,0,127
14,Kakuna,45,25,50,25,25,35,0,0,127
15,Beedrill,65,80,40,45,80,75,0,0,127
16,Pidgey,40,45,40,35,35,56,3,0,127
17,Pidgeotto,63,60,55,50,50,71,3,0,127
18,Pidgeot,83,80,75,70,70,91,3,0,127
19,Rattata,30,56,35,25,35,72,0,0,127
20,Raticate,55,81,60,50,70,97,0,0,127
21,Spearow,40,60,30,31,31,70,0,0,127
22,Fearow,65,90,65,61,61,100,0,0,127
23,Ekans,35,50,44,40,54,55,0,0,127
24,Arbok,60,85,69,65,79,80,0,0,127
25,Pikachu,35,55,30,50,40,90,0,0,127
26,Raichu,60,90,55,90,80,100,0,0,127
27,Sandshrew,60,75,85,20,30,40,0,0,127
28,Sandslash,75,100,110,45,55,65,0,0,127
29,Nidoran♀,50,47,54,40,40,41,3,0,254
30,Nidorina,70,62,67,55,55,56,3,0,254
31,Nidoqueen,90,82,87,75,85,76,3,0,254
32,Nidoran♂,46,57,40,40,40,50,3,0,0
33,Nidorino,61,72,57,55,55,65,3,0,0
34,Nidoking,81,92,77,85,75,85,3,0,0
35,Clefairy,70,45,48,60,65,35,4,0,191
36,Clefable,95,70,73,85,90,60,4,0,191
37,Vulpix,38,41,40,50,65,65,0,0,191
38,Ninetales,73,76,75,81,100,100,0,0,191
39,Jigglypuff,115,45,20,45,25,20,4,0,191
40,Wigglytuff,140,70,45,74,50,45,4,0,191
41,Zubat,40,45,35,30,40,55,0,0,127
42,Golbat,75,80,70,65,75,90,0,0,127
43,Oddish,45,50,55,75,65,30,3,0,127
44,Gloom,60,65,70,85,75,40,3,0,127
45,Vileplume,75,80,85,100,90,50,3,0,127
46,Paras,35,70,55,45,55,25,0,0,127
47,Parasect,60,95,80,60,80,30,0,0,127
48,Venonat,60,55,50,40,55,45,0,0,127
49,Venomoth,70,65,60,90,75,90,0,0,127
50,Diglett,10,55,25,35,45,95,0,0,127
51,Dugtrio,35,80,50,50,70,120,0,0,127
52,Meowth,40,45,35,40,40,90,0,0,127
53,Persian,65,70,60,65,65,115,0,0,127
54,Psyduck,50,52,48,65,50,55,0,0,127
55,Golduck,80,82,78,95,80,85,0,0,127
56,Mankey,40,80,35,35,45,70,0,0,127
57,Primeape,65,105,60,60,70,95,0,0,127
58,Growlithe,55,70,45,70,50,60,5,0,63
59,Arcanine,90,110,80,100,80,95,5,0,63
60,Poliwag,40,50,40,40,40,90,3,0,127
